"CustomerID","FullName","City","Country","Email"
"1","Luís Gonçalves","São José dos Campos","Brazil","luisg@embraer.com.br"
"2","Leonie Köhler","Stuttgart","Germany","leonekohler@surfeu.de"
"3","François Tremblay","Montréal","Canada","ftremblay@gmail.com"
"4","Bjørn Hansen","Oslo","Norway","bjorn.hansen@yahoo.no"
"5","František Wichterlová","Prague","Czech Republic","frantisekw@jetbrains.com"
"6","Helena Holý","Prague","Czech Republic","hholy@gmail.com"
"7","Astrid Gruber","Vienne","Austria","astrid.gruber@apple.at"
"8","Daan Peeters","Brussels","Belgium","daan_peeters@apple.be"
"9","Kara Nielsen","Copenhagen","Denmark","kara.nielsen@jubii.dk"
"10","Eduardo Martins","São Paulo","Brazil","eduardo@woodstock.com.br"
"11","Alexandre Rocha","São Paulo","Brazil","alero@uol.com.br"
"12","Roberto Almeida","Rio de Janeiro","Brazil","roberto.almeida@riotur.gov.br"
"13","Fernanda Ramos","Brasília","Brazil","fernadaramos4@uol.com.br"
"14","Mark Philips","Edmonton","Canada","mphilips12@shaw.ca"
"15","Jennifer Peterson","Vancouver","Canada","jenniferp@rogers.ca"
"16","Frank Harris","Mountain View","USA","fharris@google.com"
"17","Jack Smith","Redmond","USA","jacksmith@microsoft.com"
"18","Michelle Brooks","New York","USA","michelleb@aol.com"
"19","Tim Goyer","Cupertino","USA","tgoyer@apple.com"
"20","Dan Miller","Mountain View","USA","dmiller@comcast.com"
"21","Kathy Chase","Reno","USA","kachase@hotmail.com"
"22","Heather Leacock","Orlando","USA","hleacock@gmail.com"
"23","John Gordon","Boston","USA","johngordon22@yahoo.com"
"24","Frank Ralston","Chicago","USA","fralston@gmail.com"
"25","Victor Stevens","Madison","USA","vstevens@yahoo.com"
"26","Richard Cunningham","Fort Worth","USA","ricunningham@hotmail.com"
"27","Patrick Gray","Tucson","USA","patrick.gray@aol.com"
"28","Julia Barnett","Salt Lake City","USA","jubarnett@gmail.com"
"29","Robert Brown","Toronto","Canada","robbrown@shaw.ca"
"30","Edward Francis","Ottawa","Canada","edfrancis@yachoo.ca"
"31","Martha Silk","Halifax","Canada","marthasilk@gmail.com"
"32","Aaron Mitchell","Winnipeg","Canada","aaronmitchell@yahoo.ca"
"33","Ellie Sullivan","Yellowknife","Canada","ellie.sullivan@shaw.ca"
"34","João Fernandes","Lisbon","Portugal","jfernandes@yahoo.pt"
"35","Madalena Sampaio","Porto","Portugal","masampaio@sapo.pt"
"36","Hannah Schneider","Berlin","Germany","hannah.schneider@yahoo.de"
"37","Fynn Zimmermann","Frankfurt","Germany","fzimmermann@yahoo.de"
"38","Niklas Schröder","Berlin","Germany","nschroder@surfeu.de"
"39","Camille Bernard","Paris","France","camille.bernard@yahoo.fr"
"40","Dominique Lefebvre","Paris","France","dominiquelefebvre@gmail.com"
"41","Marc Dubois","Lyon","France","marc.dubois@hotmail.com"
"42","Wyatt Girard","Bordeaux","France","wyatt.girard@yahoo.fr"
"43","Isabelle Mercier","Dijon","France","isabelle_mercier@apple.fr"
"44","Terhi Hämäläinen","Helsinki","Finland","terhi.hamalainen@apple.fi"
"45","Ladislav Kovács","Budapest","Hungary","ladislav_kovacs@apple.hu"
"46","Hugh O'Reilly","Dublin","Ireland","hughoreilly@apple.ie"
"47","Lucas Mancini","Rome","Italy","lucas.mancini@yahoo.it"
"48","Johannes ""Van der Berg""","Amsterdam","Netherlands","johavanderberg@yahoo.nl"
"49","Stanisław Wójcik","Warsaw","Poland","stanisław.wójcik@wp.pl"
"50","Enrique Muñoz","Madrid","Spain","enrique_munoz@yahoo.es"
"51","Joakim Johansson","Stockholm","Sweden","joakim.johansson@yahoo.se"
"52","Emma Jones","London","United Kingdom","emma_jones@hotmail.com"
"53","Phil Hughes","London","United Kingdom","phil.hughes@gmail.com"
"54","Steve Murray","Edinburgh ","United Kingdom","steve.murray@yahoo.uk"
"55","Mark Taylor","Sidney","Australia","mark.taylor@yahoo.au"
"56","Diego Gutiérrez","Buenos Aires","Argentina","diego.gutierrez@yahoo.ar"
"57","Luis Rojas","Santiago","Chile","luisrojas@yahoo.cl"
"58","Manoj Pareek","Delhi","India","manoj.pareek@rediff.com"
"59","Puja Srivastava","Bangalore","India","puja_srivastava@yahoo.in"
